Casalbuono comune,Casalbuono comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Attilio Romano (lista civica Uniti per Casalbuono) dal 10-6-2024
Territorio,Territorio
Coordinate,40°12′55″N 15°41′19.68″E
Altitudine,661 m s.l.m.
Superficie,"34,82 km²"
Abitanti,1 012[1] (30-11-2025)
Densità,"29,06 ab./km²"
Comuni confinanti,"Casaletto Spartano, Lagonegro (PZ), Montesano sulla Marcellana, Sanza"
Altre informazioni,Altre informazioni
Cod. postale,84030
Prefisso,0975
Fuso orario,UTC+1
Codice ISTAT,065026
Cod. catastale,B868
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 975 GG[3]"
Nome abitanti,casalbuonesi
Patrono,sant'Antero
Giorno festivo,3 gennaio
Cartografia,Cartografia
Casalbuono,Casalbuono
Casalbuono – MappaPosizione del comune di Casalbuono all'interno della provincia di Salerno,Casalbuono – MappaPosizione del comune di Casalbuono all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
