Pagani comune,Pagani comune.1
,
"Pagani – VedutaVeduta di una parte di Pagani, con il Vesuvio sullo sfondo","Pagani – VedutaVeduta di una parte di Pagani, con il Vesuvio sullo sfondo"
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Raffaele Maria De Prisco (liste civiche) dal 5-10-2020
Data di istituzione,1806[1]
Territorio,Territorio
Coordinate,40°44′30″N 14°37′00″E
Altitudine,35 m s.l.m.
Superficie,"11,98 km²"
Abitanti,35 090[2] (30-11-2025)
Densità,"2 929,05 ab./km²"
Comuni confinanti,"Nocera Inferiore, San Marzano sul Sarno, San Valentino Torio, Sant'Egidio del Monte Albino, Tramonti"
Altre informazioni,Altre informazioni
Cod. postale,84016
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,065088
Cod. catastale,G230
Targa,SA
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 184 GG[4]"
Nome abitanti,paganesi
Patrono,Alfonso Maria de' Liguori - Madonna delle Galline
Giorno festivo,1º agosto - domenica in albis
Cartografia,Cartografia
Pagani,Pagani
Pagani – MappaPosizione del comune di Pagani all'interno della provincia di Salerno,Pagani – MappaPosizione del comune di Pagani all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
