Pellezzano comune,Pellezzano comune.1
,
Pellezzano – Veduta,Pellezzano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Francesco Morra (lista civica Impegno civico) dall'11-6-2018 (2º mandato dal 16-5-2023)
Territorio,Territorio
Coordinate,40°44′N 14°46′E
Altitudine,247 m s.l.m.
Superficie,"14,04 km²"
Abitanti,10 846[1] (30-11-2025)
Densità,"772,51 ab./km²"
Frazioni,"Capezzano, Capriglia, Cologna, Coperchia."
Comuni confinanti,"Baronissi, Cava de' Tirreni, Salerno"
Altre informazioni,Altre informazioni
Cod. postale,84080
Prefisso,089
Fuso orario,UTC+1
Codice ISTAT,065090
Cod. catastale,G426
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 518 GG[3]"
Nome abitanti,pellezzanesi
Patrono,san Clemente I Papa; sant'Anna
Giorno festivo,23 novembre - 26 luglio
Cartografia,Cartografia
Pellezzano,Pellezzano
Pellezzano – MappaPosizione del comune di Pellezzano all'interno della provincia di Salerno,Pellezzano – MappaPosizione del comune di Pellezzano all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
