Omignano comune,Omignano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Raffaele Mondelli (lista civica Pace e progresso) dal 27-5-2019
Territorio,Territorio
Coordinate,40°15′02.16″N 15°06′07.55″E
Altitudine,540 m s.l.m.
Superficie,"10,1 km²"
Abitanti,1 639[1] (30-11-2025)
Densità,"162,28 ab./km²"
Frazioni,"Cerreta, Pirolepre, Pagliarole, Omignano scalo"
Comuni confinanti,"Casal Velino, Lustra, Salento, Sessa Cilento, Stella Cilento"
Altre informazioni,Altre informazioni
Cod. postale,84060
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065084
Cod. catastale,G063
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 857 GG[3]"
Nome abitanti,omignanesi
Patrono,Madonna del Rosario e san Nicola di Bari
Giorno festivo,"1ª domenica di luglio, 6 dicembre"
Cartografia,Cartografia
Omignano,Omignano
Omignano – MappaPosizione del comune di Omignano all'interno della provincia di Salerno,Omignano – MappaPosizione del comune di Omignano all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
