Tramonti comune,Tramonti comune.1
,
Tramonti – VedutaConservatorio di San Giuseppe e Santa Teresa del '600,Tramonti – VedutaConservatorio di San Giuseppe e Santa Teresa del '600
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Domenico Amatruda (Lista civica ""Tramonti Democratica"") dal 27-5-2019 (2º mandato dal 10-6-2024)"
Territorio,Territorio
Coordinate,40°41′39.34″N 14°38′23.57″E
Altitudine,321[1] m s.l.m.
Superficie,"24,83 km²"
Abitanti,4 213[2] (30-11-2025)
Densità,"169,67 ab./km²"
Frazioni,"Campinola, Capitignano, Cesarano, Corsano, Figlino, Gete, Novella, Paterno Sant'Arcangelo, Paterno Sant'Elia, Pietre, Polvica (sede comunale), Ponte, Pucara"
Comuni confinanti,"Cava de' Tirreni, Corbara, Lettere (NA), Maiori, Nocera Inferiore, Nocera Superiore, Pagani, Ravello, Sant'Egidio del Monte Albino"
Altre informazioni,Altre informazioni
Cod. postale,84010
Prefisso,089
Fuso orario,UTC+1
Codice ISTAT,065151
Cod. catastale,L323
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 569 GG[4]"
Nome abitanti,tramontani
Patrono,"sant'Antonio, san Francesco, santa Maria la Nova"
Giorno festivo,"13 giugno, 4 ottobre, 12 settembre"
Motto,Intra Montes Libertas
Cartografia,Cartografia
Tramonti,Tramonti
Tramonti – MappaPosizione del comune di Tramonti all'interno della provincia di Salerno,Tramonti – MappaPosizione del comune di Tramonti all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
