Oliveto Citra comune,Oliveto Citra comune.1
,
Oliveto Citra – Veduta,Oliveto Citra – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Carmine Pignata (PSI) dal 27-5-2019
Territorio,Territorio
Coordinate,40°41′22″N 15°13′52″E
Altitudine,300 m s.l.m.
Superficie,"31,62 km²"
Abitanti,3 598[1] (30-11-2025)
Densità,"113,79 ab./km²"
Frazioni,"Casale, Dogana, Ponte Oliveto, Serroni"
Comuni confinanti,"Senerchia (AV), Campagna, Colliano, Contursi Terme, Valva"
Altre informazioni,Altre informazioni
Cod. postale,84020
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065083
Cod. catastale,G039
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 546 GG[3]"
Nome abitanti,olivetani
Patrono,san Macario Abate
Giorno festivo,24 maggio
Cartografia,Cartografia
Oliveto Citra,Oliveto Citra
Oliveto Citra – MappaPosizione del comune di Oliveto Citra all'interno della provincia di Salerno,Oliveto Citra – MappaPosizione del comune di Oliveto Citra all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
