Magliano Vetere comune,Magliano Vetere comune.1
,
Magliano Vetere – Veduta,Magliano Vetere – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Adriano Piano (lista civica Uniti per Magliano) dal 13-6-2022
Territorio,Territorio
Coordinate,40°21′N 15°14′E
Altitudine,650 m s.l.m.
Superficie,"23,3 km²"
Abitanti,575[1] (30-11-2025)
Densità,"24,68 ab./km²"
Frazioni,"Capizzo, Magliano Nuovo, Palazzo Soccorso"
Comuni confinanti,"Felitto, Laurino, Monteforte Cilento, Orria, Stio"
Altre informazioni,Altre informazioni
Cod. postale,84050
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065065
Cod. catastale,E814
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 950 GG[3]"
Nome abitanti,maglianovetresi
Patrono,"santa Lucia, santa Irene, san Mauro"
Giorno festivo,terza domenica di settembre
Cartografia,Cartografia
Magliano Vetere,Magliano Vetere
Magliano Vetere – MappaPosizione del comune di Magliano Vetere all'interno della provincia di Salerno,Magliano Vetere – MappaPosizione del comune di Magliano Vetere all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
