Castelnuovo Cilento comune,Castelnuovo Cilento comune.1
,
Castelnuovo Cilento – VedutaLa torre del castello,Castelnuovo Cilento – VedutaLa torre del castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Gianluca D'Aiuto (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,40°13′04.4″N 15°10′37.6″E
Altitudine,280 m s.l.m.
Superficie,"18,06 km²"
Abitanti,2 837[1] (30-11-2025)
Densità,"157,09 ab./km²"
Frazioni,"Pantana, Velina[2][Chiarire...dallo statuto non risulta...le fonti non sono chiare]"
Comuni confinanti,"Ascea, Casal Velino, Ceraso, Salento, Vallo della Lucania"
Altre informazioni,Altre informazioni
Cod. postale,84040
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065032
Cod. catastale,C231
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona C, 1 354 GG[4]"
Nome abitanti,castelnuovesi castieddunuvesi
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Castelnuovo Cilento,Castelnuovo Cilento
Castelnuovo Cilento – MappaPosizione del comune di Castelnuovo Cilento all'interno della provincia di Salerno,Castelnuovo Cilento – MappaPosizione del comune di Castelnuovo Cilento all'interno della provincia di Salerno
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
