Caselle in Pìttari comune,Caselle in Pìttari comune.1
,
Caselle in Pìttari – Veduta,Caselle in Pìttari – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Giampiero Nuzzo (lista civica Uniti per Caselle) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,40°10′N 15°33′E
Altitudine,444 m s.l.m.
Superficie,"45,56 km²"
Abitanti,1 865[1] (30-11-2025)
Densità,"40,94 ab./km²"
Frazioni,"Botimare, Caporra, Marmore, Santi Caselle, Tempe"
Comuni confinanti,"Casaletto Spartano, Morigerati, Rofrano, Sanza, Torre Orsaia"
Altre informazioni,Altre informazioni
Cod. postale,84030
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065029
Cod. catastale,B959
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 599 GG[3]"
Nome abitanti,casellesi
Patrono,san Michele Arcangelo
Giorno festivo,8 maggio / 29 settembre
Cartografia,Cartografia
Caselle in Pìttari,Caselle in Pìttari
Caselle in Pìttari – MappaPosizione del comune di Caselle in Pittari all'interno della provincia di Salerno,Caselle in Pìttari – MappaPosizione del comune di Caselle in Pittari all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
