Positano comune,Positano comune.1
,
Positano – VedutaVeduta della spiaggia di Marina Grande,Positano – VedutaVeduta della spiaggia di Marina Grande
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Giuseppe Guida (Lista civica L'Alba della Libertà) dal 22-9-2020
Territorio,Territorio
Coordinate,40°37′40″N 14°28′55″E
Altitudine,30 m s.l.m.
Superficie,"8,65 km²"
Abitanti,3 636[1] (30-11-2025)
Densità,"420,35 ab./km²"
Frazioni,"Montepertuso, Nocelle[2]"
Comuni confinanti,"Agerola (NA), Pimonte (NA), Praiano, Vico Equense (NA)"
Altre informazioni,Altre informazioni
Cod. postale,84017
Prefisso,089
Fuso orario,UTC+1
Codice ISTAT,065100
Cod. catastale,G932
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona C, 1 052 GG[4]"
Nome abitanti,positanesi
Patrono,"san Vito, Madonna Assunta"
Giorno festivo,"15 giugno, 15 agosto"
Cartografia,Cartografia
Positano,Positano
Positano – MappaPosizione del comune di Positano all'interno della provincia di Salerno,Positano – MappaPosizione del comune di Positano all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
