Pontecagnano Faiano comune,Pontecagnano Faiano comune.1
,
Pontecagnano Faiano – Veduta,Pontecagnano Faiano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Giuseppe Lanzara (PD) dal 25-6-2018 (2º mandato dal 15-5-2023)
Data di istituzione,18-6-1911
Territorio,Territorio
Coordinate,40°39′N 14°53′E
Altitudine,28 m s.l.m.
Superficie,"37,19 km²"
Abitanti,26 335[1] (30-11-2025)
Densità,"708,12 ab./km²"
Frazioni,"Pontecagnano (sede comunale), Faiano, Corvinia, La Picciola, Magazzeno, Sant'Antonio"
Comuni confinanti,"Battipaglia, Bellizzi, Giffoni Valle Piana, Montecorvino Pugliano, Salerno"
Altre informazioni,Altre informazioni
Cod. postale,84098
Prefisso,089
Fuso orario,UTC+1
Codice ISTAT,065099
Cod. catastale,G834
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 011 GG[3]"
Nome abitanti,pontecagnanesi
Patrono,san Benedetto
Giorno festivo,11 luglio
Cartografia,Cartografia
Pontecagnano Faiano,Pontecagnano Faiano
Pontecagnano Faiano – MappaPosizione del comune di Pontecagnano all'interno della provincia di Salerno,Pontecagnano Faiano – MappaPosizione del comune di Pontecagnano all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
