Sant'Angelo a Fasanella comune,Sant'Angelo a Fasanella comune.1
,
Sant'Angelo a Fasanella – Veduta,Sant'Angelo a Fasanella – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Bruno Tierno (lista ""Sviluppo e Resilienza"") dal 26/05/2025 1º mandato"
Territorio,Territorio
Coordinate,40°27′N 15°21′E
Altitudine,520 m s.l.m.
Superficie,"32,61 km²"
Abitanti,497[1] (30-11-2025)
Densità,"15,24 ab./km²"
Comuni confinanti,"Bellosguardo, Corleto Monforte, Ottati, Petina, Roscigno"
Altre informazioni,Altre informazioni
Cod. postale,84027
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065128
Cod. catastale,I278
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 850 GG[3]"
Nome abitanti,santangiolesi
Patrono,san Michele Arcangelo
Giorno festivo,8 maggio - 29 settembre
Cartografia,Cartografia
Sant'Angelo a Fasanella,Sant'Angelo a Fasanella
Sant'Angelo a Fasanella – MappaPosizione del comune di Sant'Angelo a Fasanella all'interno della provincia di Salerno,Sant'Angelo a Fasanella – MappaPosizione del comune di Sant'Angelo a Fasanella all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
