Castel San Lorenzo comune,Castel San Lorenzo comune.1
,
Castel San Lorenzo – Veduta,Castel San Lorenzo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Giuseppe Scorza (lista civica Avvenire-pace-libertà) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,40°25′N 15°14′E
Altitudine,358 m s.l.m.
Superficie,"14,29 km²"
Abitanti,2 187[1] (30-11-2025)
Densità,"153,04 ab./km²"
Comuni confinanti,"Aquara, Felitto, Roccadaspide"
Altre informazioni,Altre informazioni
Cod. postale,84049
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065035
Cod. catastale,C262
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 585 GG[3]"
Nome abitanti,castellesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Castel San Lorenzo,Castel San Lorenzo
Castel San Lorenzo – MappaPosizione del comune di Castel San Lorenzo all'interno della provincia di Salerno,Castel San Lorenzo – MappaPosizione del comune di Castel San Lorenzo all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
