Perdifumo comune,Perdifumo comune.1
,
Perdifumo – Veduta,Perdifumo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Vincenzo Paolillo (lista civica Rinnovamento democratico) dal 16-5-2011 (4º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,40°16′51.73″N 15°00′19.01″E
Altitudine,425 m s.l.m.
Superficie,"23,81 km²"
Abitanti,1 806[1] (30-11-2025)
Densità,"75,85 ab./km²"
Frazioni,"Camella, Mercato Cilento, Vatolla"
Comuni confinanti,"Castellabate, Laureana Cilento, Lustra, Montecorice, Serramezzana, Sessa Cilento"
Altre informazioni,Altre informazioni
Cod. postale,84060
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065091
Cod. catastale,G447
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 576 GG[3]"
Nome abitanti,perdifumesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Perdifumo,Perdifumo
Perdifumo – MappaPosizione del comune di Perdifumo all'interno della provincia di Salerno,Perdifumo – MappaPosizione del comune di Perdifumo all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
