Tortorella comune,Tortorella comune.1
,
Tortorella – Veduta,Tortorella – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Nicola Tancredi (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,40°08′N 15°36′E
Altitudine,582 m s.l.m.
Superficie,"34,22 km²"
Abitanti,461[1] (30-11-2025)
Densità,"13,47 ab./km²"
Frazioni,Caselle
Comuni confinanti,"Casaletto Spartano, Morigerati, Lagonegro (PZ), Rivello (PZ), Santa Marina, Sapri, Torraca, Vibonati"
Altre informazioni,Altre informazioni
Cod. postale,84030
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,065150
Cod. catastale,L306
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 838 GG[3]"
Nome abitanti,tortorellesi
Patrono,san Vito - san Felice martire -San Urbano
Giorno festivo,25 Maggio 15 giugno - ultima domenica di ottobre
Cartografia,Cartografia
Tortorella,Tortorella
Tortorella – MappaPosizione del comune di Tortorella all'interno della provincia di Salerno,Tortorella – MappaPosizione del comune di Tortorella all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
