Rutino comune,Rutino comune.1
,
Rutino – Veduta,Rutino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Giuseppe Rotolo (lista civica Guardiamo avanti) dall'11-6-2017
Territorio,Territorio
Coordinate,40°18′N 15°04′E
Altitudine,371 m s.l.m.
Superficie,"9,69 km²"
Abitanti,747[1] (30-11-2025)
Densità,"77,09 ab./km²"
Frazioni,Rutino Scalo
Comuni confinanti,"Lustra, Perito, Prignano Cilento, Torchiara"
Altre informazioni,Altre informazioni
Cod. postale,84070
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065112
Cod. catastale,H644
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 467 GG[3]"
Nome abitanti,rutinesi
Patrono,san Michele Arcangelo
Giorno festivo,seconda domenica di maggio
Cartografia,Cartografia
Rutino,Rutino
Rutino – MappaPosizione del comune di Rutino all'interno della provincia di Salerno,Rutino – MappaPosizione del comune di Rutino all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
