Felitto comune,Felitto comune.1
,
Felitto – VedutaFelitto vista da sud,Felitto – VedutaFelitto vista da sud
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Carmine Casella (lista civica Per Felitto) dal 27-5-2019
Territorio,Territorio
Coordinate,40°22′N 15°15′E
Altitudine,275 m s.l.m.
Superficie,"41,53 km²"
Abitanti,1 144[1] (30-11-2025)
Densità,"27,55 ab./km²"
Comuni confinanti,"Aquara, Bellosguardo, Castel San Lorenzo, Laurino, Magliano Vetere, Monteforte Cilento, Roccadaspide"
Altre informazioni,Altre informazioni
Cod. postale,84055
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065051
Cod. catastale,D527
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 481 GG[3]"
Nome abitanti,felittesi
Patrono,san Vito
Giorno festivo,15 giugno
Cartografia,Cartografia
Felitto,Felitto
Felitto – MappaPosizione del comune di Felitto all'interno della provincia di Salerno,Felitto – MappaPosizione del comune di Felitto all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
