Roccagloriosa comune,Roccagloriosa comune.1
,
Roccagloriosa – Veduta,Roccagloriosa – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Roberto Cavalieri (Insieme per Roccagloriosa ed Acquavena) dal 15-05-2023
Territorio,Territorio
Coordinate,40°07′N 15°26′E
Altitudine,430 m s.l.m.
Superficie,"40,56 km²"
Abitanti,1 532[1] (30-11-2025)
Densità,"37,77 ab./km²"
Frazioni,Acquavena
Comuni confinanti,"Alfano, Camerota, Celle di Bulgheria, Laurito, Rofrano, San Giovanni a Piro, Torre Orsaia"
Altre informazioni,Altre informazioni
Cod. postale,84060
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065107
Cod. catastale,H412
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 582 GG[3]"
Nome abitanti,rocchetani o roccaglorensi
Patrono,san Giovanni Battista[4]
Giorno festivo,24 giugno[4]
Cartografia,Cartografia
Roccagloriosa,Roccagloriosa
Roccagloriosa – MappaPosizione del comune di Roccagloriosa all'interno della provincia di Salerno,Roccagloriosa – MappaPosizione del comune di Roccagloriosa all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
