Sala Consilina comune,Sala Consilina comune.1
,
Sala Consilina – VedutaIl centro abitato visto dall'alto,Sala Consilina – VedutaIl centro abitato visto dall'alto
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Domenico Cartolano (lista civica ""Impegno per Sala"") dal 10-6-2024"
Territorio,Territorio
Coordinate,40°24′N 15°36′E
Altitudine,614 m s.l.m.
Superficie,"59,7 km²"
Abitanti,12 117[1] (30-11-2025)
Densità,"202,96 ab./km²"
Frazioni,"Fonti, Grecia, Quattro Querce, Sant'Antonio, Sant'Angelo, Sant'Eustachio, Santo Leo, San Raffaele, San Rocco, San Sebastiano, Santo Stefano, Trinità, Viscigliete."
Comuni confinanti,"Atena Lucana, Brienza (PZ), Padula, Sassano, Teggiano."
Altre informazioni,Altre informazioni
Cod. postale,84036
Prefisso,0975
Fuso orario,UTC+1
Codice ISTAT,065114
Cod. catastale,H683
Targa,SA
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 2 033 GG[3]"
Nome abitanti,salesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Sala Consilina,Sala Consilina
Sala Consilina – MappaPosizione del comune di Sala Consilina all'interno della provincia di Salerno,Sala Consilina – MappaPosizione del comune di Sala Consilina all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
