Prignano Cilento comune,Prignano Cilento comune.1
,
Prignano Cilento – Veduta,Prignano Cilento – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Michele Chirico (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,40°20′N 15°04′E
Altitudine,415 m s.l.m.
Superficie,"12,04 km²"
Abitanti,1 109[1] (30-11-2025)
Densità,"92,11 ab./km²"
Frazioni,"Melito, San Giuliano"
Comuni confinanti,"Agropoli, Cicerale, Ogliastro Cilento, Perito, Rutino, Torchiara"
Altre informazioni,Altre informazioni
Cod. postale,84060
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065103
Cod. catastale,H062
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 650 GG[3]"
Nome abitanti,prignanesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Prignano Cilento,Prignano Cilento
Prignano Cilento – MappaPosizione del comune di Prignano Cilento all'interno della provincia di Salerno,Prignano Cilento – MappaPosizione del comune di Prignano Cilento all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
