Capaccio Paestum comune,Capaccio Paestum comune.1
,
Capaccio Paestum – VedutaVeduta del Tempio di Nettuno,Capaccio Paestum – VedutaVeduta del Tempio di Nettuno
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Gaetano Paolino (liste civiche di centro-sinistra) dal 26-5-2025
Territorio,Territorio
Coordinate,40°25′N 15°05′E
Altitudine,419 m s.l.m.
Superficie,"113,03 km²"
Abitanti,22 466[1] (30-11-2025)
Densità,"198,76 ab./km²"
Frazioni,"Contrade: Cafasso-Borgo Nuovo, Capaccio Marittima, Capo di Fiume, Chiorbo-Cortigliano, Gromola-Foce Sele, Paestum, Laura, Ponte Barizzo, Rettifilo-Vannulo, Spinazzo-Varco Cilentano, Santa Venere, Seude-Scigliati-Tempa San Paolo-Crispi-Capaccio Vecchio, Torre-Licinella, Vuccolo Maiorano"
Comuni confinanti,"Agropoli, Albanella, Cicerale, Eboli, Giungano, Roccadaspide, Trentinara"
Altre informazioni,Altre informazioni
Cod. postale,84047
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065025
Cod. catastale,B644
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 661 GG[3]"
Nome abitanti,capaccesi/paestani
Patrono,san Vito
Giorno festivo,15 giugno
Cartografia,Cartografia
Capaccio Paestum,Capaccio Paestum
Capaccio Paestum – MappaPosizione del comune di Capaccio Paestum all'interno della provincia di Salerno,Capaccio Paestum – MappaPosizione del comune di Capaccio Paestum all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
