Monteforte Cilento comune,Monteforte Cilento comune.1
,
Monteforte Cilento – Veduta,Monteforte Cilento – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Bernardo Mottola (lista civica Per Monteforte) dal 4-10-2021
Territorio,Territorio
Coordinate,40°22′N 15°12′E
Altitudine,600 m s.l.m.
Superficie,"22,17 km²"
Abitanti,532[1] (30-11-2025)
Densità,24 ab./km²
Comuni confinanti,"Cicerale, Felitto, Magliano Vetere, Orria, Perito, Roccadaspide, Trentinara"
Altre informazioni,Altre informazioni
Cod. postale,84060
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065074
Cod. catastale,F507
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 979 GG[3]"
Nome abitanti,montefortesi
Patrono,san Donato
Giorno festivo,7 agosto
Cartografia,Cartografia
Monteforte Cilento,Monteforte Cilento
Monteforte Cilento – MappaPosizione del comune di Monteforte Cilento all'interno della provincia di Salerno,Monteforte Cilento – MappaPosizione del comune di Monteforte Cilento all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
