Bellizzi comune,Bellizzi comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Domenico Volpe (lista civica ""Città Possibile"") dal 26-5-2014 (3º mandato dal 10-6-2024)"
Data di istituzione,1º febbraio 1990
Territorio,Territorio
Coordinate,40°37′N 14°57′E
Altitudine,60 m s.l.m.
Superficie,"8,02 km²"
Abitanti,13 354[1] (30-11-2025)
Densità,"1 665,09 ab./km²"
Frazioni,Bivio Pratole
Comuni confinanti,"Battipaglia, Montecorvino Pugliano, Montecorvino Rovella, Pontecagnano Faiano"
Altre informazioni,Altre informazioni
Cod. postale,84092
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065158
Cod. catastale,M294
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 118 GG[3]"
Nome abitanti,bellizzesi
Patrono,Sacro Cuore di Gesù
Cartografia,Cartografia
Bellizzi,Bellizzi
Bellizzi – MappaPosizione del comune di Bellizzi all'interno della provincia di Salerno,Bellizzi – MappaPosizione del comune di Bellizzi all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
