Salvitelle comune,Salvitelle comune.1
,
Salvitelle – VedutaLa collina di Salvitelle,Salvitelle – VedutaLa collina di Salvitelle
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Maria Antonietta Scelza (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,40°35′27.24″N 15°27′31.54″E
Altitudine,630 m s.l.m.
Superficie,"9,6 km²"
Abitanti,459[1] (30-11-2025)
Densità,"47,81 ab./km²"
Frazioni,"Destra-San Marco, Dovina, Fontanelle-Chiuse-San Giorgio-Zia Domenica, Scoria, Taverna Barone-San Nicola, Taverna Romanzi-Fontana di Marco-Don Gregorio."
Comuni confinanti,"Auletta, Buccino, Caggiano, Romagnano al Monte, Vietri di Potenza (PZ)"
Altre informazioni,Altre informazioni
Cod. postale,84020
Prefisso,0975
Fuso orario,UTC+1
Codice ISTAT,065117
Cod. catastale,H732
Targa,SA
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 2 072 GG[3]"
Nome abitanti,salvitellesi
Patrono,san Sebastiano e Copatrono san Giuseppe
Giorno festivo,20 gennaio e l'ultima domenica di agosto
Cartografia,Cartografia
Salvitelle,Salvitelle
Salvitelle – MappaPosizione del comune di Salvitelle all'interno della provincia di Salerno,Salvitelle – MappaPosizione del comune di Salvitelle all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
