Stio comune,Stio comune.1
,
Stio – Veduta,Stio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Giancarlo Trotta (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,40°18′36.72″N 15°15′05.51″E
Altitudine,675 m s.l.m.
Superficie,"24,28 km²"
Abitanti,760[1] (30-11-2025)
Densità,"31,3 ab./km²"
Frazioni,Gorga
Comuni confinanti,"Campora, Gioi, Laurino, Magliano Vetere, Orria"
Altre informazioni,Altre informazioni
Cod. postale,84075
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065145
Cod. catastale,I960
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 981 GG[3]"
Nome abitanti,stiesi
Patrono,san Pasquale Baylon
Giorno festivo,17 maggio
Cartografia,Cartografia
Stio,Stio
Stio – MappaPosizione del comune di Stio all'interno della provincia di Salerno,Stio – MappaPosizione del comune di Stio all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
