San Mauro Cilento comune,San Mauro Cilento comune.1
San Mauro Cilento – VedutaChiesa di San Mauro Martire a Casal Sottano,San Mauro Cilento – VedutaChiesa di San Mauro Martire a Casal Sottano
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Carlo Pisacane (lista civica Noi ci siamo) dal 10-6-2024
Territorio,Territorio
Coordinate,40°14′N 15°03′E
Altitudine,560 m s.l.m.
Superficie,"15,28 km²"
Abitanti,825[1] (30-11-2025)
Densità,"53,99 ab./km²"
Frazioni,"Casalsoprano (capoluogo), Casalsottano, Mezzatorre"
Comuni confinanti,"Montecorice, Pollica, Serramezzana, Sessa Cilento, Stella Cilento"
Altre informazioni,Altre informazioni
Cod. postale,84070
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065123
Cod. catastale,I031
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 943 GG[3]"
Nome abitanti,sanmauresi
Patrono,San Mauro Martire
Giorno festivo,11 luglio
Cartografia,Cartografia
San Mauro Cilento,San Mauro Cilento
San Mauro Cilento – MappaPosizione del comune di San Mauro Cilento all'interno della provincia di Salerno,San Mauro Cilento – MappaPosizione del comune di San Mauro Cilento all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
