Albanella comune,Albanella comune.1
,
Albanella – Veduta,Albanella – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Renato Iosca (lista civica ""Vince Albanella"") dal 13-6-2022"
Territorio,Territorio
Coordinate,40°29′N 15°07′E
Altitudine,205 m s.l.m.
Superficie,"40,23 km²"
Abitanti,6 344[1] (30-11-2025)
Densità,"157,69 ab./km²"
Frazioni,"Borgo San Cesareo, Bosco, Cerrina, Forestelle, Matinella, San Chirico, San Nicola, Tempa delle Guardie"
Comuni confinanti,"Altavilla Silentina, Capaccio Paestum, Castelcivita, Eboli, Roccadaspide, Serre"
Altre informazioni,Altre informazioni
Cod. postale,84044
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065003
Cod. catastale,A128
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 301 GG[3]"
Nome abitanti,albanellesi
Patrono,santa Sofia - san Matteo
Giorno festivo,15 maggio - 21 settembre
Cartografia,Cartografia
Albanella,Albanella
Albanella – MappaPosizione del comune di Albanella all'interno della provincia di Salerno,Albanella – MappaPosizione del comune di Albanella all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
