Campagna comune,Campagna comune.1
,
Campagna – Veduta,Campagna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Biagio Luongo (PD) dal 29-5-2023
Territorio,Territorio
Coordinate,40°39′59.8″N 15°06′22.97″E
Altitudine,281 m s.l.m.
Superficie,"136,31 km²"
Abitanti,17 183[1] (30-11-2025)
Densità,"126,06 ab./km²"
Frazioni,"Camaldoli, Galdo, Mattinelle, Puglietta, Quadrivio, Romandola-Madonna del Ponte, Santa Maria La Nova, Serradarce Piazza d'armi, Ponte Barbieri, Pezzarotonda, San Vito (Cappellone), Castrullo (san Paolo), Oppidi (Varano), Avigliano, Quadrivio"
Comuni confinanti,"Acerno, Contursi Terme, Eboli, Olevano sul Tusciano, Oliveto Citra, Postiglione, Serre, Senerchia (AV)"
Altre informazioni,Altre informazioni
Cod. postale,84022
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065022
Cod. catastale,B492
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 557 GG[3]"
Nome abitanti,campagnesi
Patrono,sant'Antonino abate
Giorno festivo,14 febbraio
Cartografia,Cartografia
Campagna,Campagna
Campagna – MappaPosizione del comune di Campagna all'interno della provincia di Salerno,Campagna – MappaPosizione del comune di Campagna all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
