Roccadaspide comune,Roccadaspide comune.1
,
Roccadaspide – Veduta,Roccadaspide – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Gabriele Iuliano (lista civica ""Insieme per Roccadaspide"") dal 5-6-2016 (2º mandato dal 4-10-2021)"
Territorio,Territorio
Coordinate,40°26′N 15°12′E
Altitudine,354 m s.l.m.
Superficie,"64,16 km²"
Abitanti,6 893[1] (30-11-2025)
Densità,"107,43 ab./km²"
Frazioni,"Carretiello, Doglie, Fonte, Serra, Tempalta"
Comuni confinanti,"Albanella, Aquara, Capaccio Paestum, Castel San Lorenzo, Castelcivita, Felitto, Monteforte Cilento, Trentinara"
Altre informazioni,Altre informazioni
Cod. postale,84069
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065106
Cod. catastale,H394
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 580 GG[3]"
Nome abitanti,roccadaspidini
Patrono,santa Sinforosa
Giorno festivo,18 luglio
Cartografia,Cartografia
Roccadaspide,Roccadaspide
Roccadaspide – MappaPosizione del comune di Roccadaspide all'interno della provincia di Salerno,Roccadaspide – MappaPosizione del comune di Roccadaspide all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
