Cava de' Tirreni comune,Cava de' Tirreni comune.1
(dettagli),(dettagli)
Cava de' Tirreni – Veduta,Cava de' Tirreni – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Vincenzo Servalli (PD) dal 14-6-2015 (2º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,40°42′00″N 14°42′20″E
Altitudine,180 m s.l.m.
Superficie,"36,53 km²"
Abitanti,49 392[1] (30-11-2025)
Densità,"1 352,09 ab./km²"
Frazioni,"Alessia, SS. Annunziata, Arcara, Casaburi-Rotolo, Castagneto, Cesinola, Corpo di Cava, Croce, Dupino, Maddalena, Marini, Passiano, Petrellosa, Pregiato, Rotolo, San Cesareo, San Giuseppe al Pozzo, San Lorenzo, San Martino, San Pietro, Sant'Anna, Sant'Arcangelo, Santa Lucia, Santa Maria del Rovo, Santi Quaranta[2], Vetranto"
Comuni confinanti,"Baronissi, Maiori, Mercato San Severino, Nocera Superiore, Pellezzano, Roccapiemonte, Salerno, Tramonti, Vietri sul Mare"
Altre informazioni,Altre informazioni
Cod. postale,84013
Prefisso,089
Fuso orario,UTC+1
Codice ISTAT,065037
Cod. catastale,C361
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona C, 1 274 GG[4]"
Nome abitanti,cavesi / metelliani
Patrono,"santa Maria Incoronata dell'Olmo, sant'Adiutore"
Giorno festivo,8 settembre
Cartografia,Cartografia
Cava de' Tirreni,Cava de' Tirreni
Cava de' Tirreni – MappaPosizione del comune di Cava de' Tirreni all'interno della provincia di Salerno,Cava de' Tirreni – MappaPosizione del comune di Cava de' Tirreni all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
