San Mango Piemonte comune,San Mango Piemonte comune.1
,
San Mango Piemonte – Veduta,San Mango Piemonte – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Francesco Di Giacomo (lista civica ""Insieme per San Mango"") dal 10-6-2018 (2º mandato dal 14-5-2023)"
Territorio,Territorio
Coordinate,40°42′N 14°50′E
Altitudine,210 m s.l.m.
Superficie,"6,02 km²"
Abitanti,2 615[1] (30-11-2025)
Densità,"434,39 ab./km²"
Frazioni,"Lauro, Monticelli, Piedimonte."
Comuni confinanti,"Castiglione del Genovesi, Salerno, San Cipriano Picentino"
Altre informazioni,Altre informazioni
Cod. postale,84090
Prefisso,089
Fuso orario,UTC+1
Codice ISTAT,065121
Cod. catastale,H977
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 378 GG[3]"
Nome abitanti,sanmanghesi
Patrono,san Magno martire
Giorno festivo,19 agosto
Cartografia,Cartografia
San Mango Piemonte,San Mango Piemonte
San Mango Piemonte – MappaPosizione del comune di San Mango Piemonte all'interno della provincia di Salerno,San Mango Piemonte – MappaPosizione del comune di San Mango Piemonte all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
