Casal Velino comune,Casal Velino comune.1
,
Casal Velino – Veduta,Casal Velino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Silvia Pisapia (lista civica Il veliero) dal 31-5-2015 (2º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,40°11′N 15°07′E
Altitudine,170 m s.l.m.
Superficie,"31,71 km²"
Abitanti,5 373[1] (30-11-2025)
Densità,"169,44 ab./km²"
Frazioni,"Acquavella, Bivio di Acquavella, Casal Velino Marina, Vallo Scalo, Verduzio"
Comuni confinanti,"Ascea, Castelnuovo Cilento, Omignano, Pollica, Salento, Stella Cilento"
Altre informazioni,Altre informazioni
Cod. postale,84040
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065028
Cod. catastale,B895
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 151 GG[3]"
Nome abitanti,casalvelinesi o casalicchiari (in dialetto cilentano)
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Casal Velino,Casal Velino
Casal Velino – MappaPosizione del comune di Casal Velino all'interno della provincia di Salerno,Casal Velino – MappaPosizione del comune di Casal Velino all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
