Ogliastro Cilento comune,Ogliastro Cilento comune.1
,
Ogliastro Cilento – Veduta,Ogliastro Cilento – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Michele Apolito (lista civica ""Ancora con Voi per Voi"") dal 15-05-2023"
Territorio,Territorio
Coordinate,40°21′N 15°03′E
Altitudine,365 m s.l.m.
Superficie,"13,24 km²"
Abitanti,2 305[1] (30-11-2025)
Densità,"174,09 ab./km²"
Frazioni,"Eredita, Finocchito"
Comuni confinanti,"Agropoli, Cicerale, Prignano Cilento"
Altre informazioni,Altre informazioni
Cod. postale,84061
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065081
Cod. catastale,G011
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 577 GG[3]"
Nome abitanti,ogliastresi
Patrono,Madre del Buon Consiglio
Giorno festivo,26 aprile
Cartografia,Cartografia
Ogliastro Cilento,Ogliastro Cilento
Ogliastro Cilento – MappaPosizione del comune di Ogliastro Cilento all'interno della provincia di Salerno,Ogliastro Cilento – MappaPosizione del comune di Ogliastro Cilento all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
