Ispani comune,Ispani comune.1
,
Ispani – VedutaPanorama,Ispani – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Franco Fragomeno (Costruiamo il futuro) dal 26-5-2025
Territorio,Territorio
Coordinate,40°05′N 15°34′E
Altitudine,256 m s.l.m.
Superficie,"8,34 km²"
Abitanti,982[1] (30-11-2025)
Densità,"117,75 ab./km²"
Frazioni,"Capitello, San Cristoforo"
Comuni confinanti,"Santa Marina, Vibonati"
Altre informazioni,Altre informazioni
Cod. postale,"84050, 84040"
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,065059
Cod. catastale,E365
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 364 GG[3]"
Nome abitanti,ispanoti
Patrono,san Nicola di Bari e san Rocco
Giorno festivo,6 dicembre e 16 agosto
Cartografia,Cartografia
Ispani,Ispani
Ispani – MappaPosizione del comune di Ispani all'interno della provincia di Salerno,Ispani – MappaPosizione del comune di Ispani all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
