Ottati comune,Ottati comune.1
,
Ottati – Veduta,Ottati – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Elio Guadagno (lista civica Ottati prima di tutto) dal 27-5-2019
Territorio,Territorio
Coordinate,40°28′N 15°19′E
Altitudine,530 m s.l.m.
Superficie,"53,61 km²"
Abitanti,563[1] (30-11-2025)
Densità,"10,5 ab./km²"
Frazioni,"Bivio San Vito, Chiaie"
Comuni confinanti,"Aquara, Bellosguardo, Castelcivita, Petina, Sant'Angelo a Fasanella, Sicignano degli Alburni"
Altre informazioni,Altre informazioni
Cod. postale,84020
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065086
Cod. catastale,G192
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 881 GG[3]"
Nome abitanti,ottatesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Ottati,Ottati
Ottati – MappaPosizione del comune di Ottati all'interno della provincia di Salerno,Ottati – MappaPosizione del comune di Ottati all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
