Cuccaro Vetere comune,Cuccaro Vetere comune.1
,
Cuccaro Vetere – Veduta,Cuccaro Vetere – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Aldo Luongo (PD) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,40°10′N 15°19′E
Altitudine,629 m s.l.m.
Superficie,"17,66 km²"
Abitanti,513[1] (30-11-2025)
Densità,"29,05 ab./km²"
Comuni confinanti,"Ceraso, Futani, Novi Velia"
Altre informazioni,Altre informazioni
Cod. postale,84050
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065049
Cod. catastale,D195
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 914 GG[3]"
Nome abitanti,cuccaresi
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Cuccaro Vetere,Cuccaro Vetere
Cuccaro Vetere – MappaPosizione del comune di Cuccaro Vetere all'interno della provincia di Salerno,Cuccaro Vetere – MappaPosizione del comune di Cuccaro Vetere all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
