Vallo della Lucania comune,Vallo della Lucania comune.1
,
Vallo della Lucania – Veduta,Vallo della Lucania – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Antonio Sansone (lista civica Ripartiamo insieme) dal 4-10-2021
Territorio,Territorio
Coordinate,40°14′N 15°16′E
Altitudine,380 m s.l.m.
Superficie,"25,32 km²"
Abitanti,7 787[1] (30-11-2025)
Densità,"307,54 ab./km²"
Frazioni,"Angellara, Massa, Pattano"
Comuni confinanti,"Cannalonga, Castelnuovo Cilento, Ceraso, Gioi, Moio della Civitella, Novi Velia, Salento"
Altre informazioni,Altre informazioni
Cod. postale,84078
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065154
Cod. catastale,L628
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 519 GG[3]"
Nome abitanti,vallesi
Patrono,san Pantaleone
Giorno festivo,27 luglio
Cartografia,Cartografia
Vallo della Lucania,Vallo della Lucania
Vallo della Lucania – MappaPosizione del comune di Vallo della Lucania all'interno della provincia di Salerno,Vallo della Lucania – MappaPosizione del comune di Vallo della Lucania all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
