Pisciotta comune,Pisciotta comune.1
,
Pisciotta – Veduta,Pisciotta – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Ettore Liguori (centro-sinistra) dal 7-5-2012
Territorio,Territorio
Coordinate,40°07′N 15°14′E
Altitudine,171 m s.l.m.
Superficie,"31,24 km²"
Abitanti,2 415[1] (30-11-2025)
Densità,"77,3 ab./km²"
Frazioni,"Caprioli, Marina di Pisciotta, Rodio"
Comuni confinanti,"Ascea, Centola, San Mauro La Bruca"
Altre informazioni,Altre informazioni
Cod. postale,84066
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065096
Cod. catastale,G707
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 257 GG[3]"
Nome abitanti,pisciottani
Patrono,"santa Sofia, san Vito, sant'Agnello abate"
Giorno festivo,"30 settembre, 15 giugno, 10 agosto, 14 dicembre"
Cartografia,Cartografia
Pisciotta,Pisciotta
Pisciotta – MappaPosizione del comune di Pisciotta all'interno della provincia di Salerno,Pisciotta – MappaPosizione del comune di Pisciotta all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
