Amalfi comune,Amalfi comune.1
,
Amalfi – VedutaVeduta della città dal porto,Amalfi – VedutaVeduta della città dal porto
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Daniele Milano (lista civica ""Liberi"") dal 31-5-2015 (2º mandato dal 21-9-2020)"
Territorio,Territorio
Coordinate,40°38′00″N 14°36′10″E
Altitudine,6 m s.l.m.
Superficie,"5,7 km²"
Abitanti,4 578[1] (30-11-2025)
Densità,"803,16 ab./km²"
Frazioni,"Lone, Pastena, Pogerola, Tovere, Vettica Minore"
Comuni confinanti,"Agerola (NA), Atrani, Conca dei Marini, Furore, Scala"
Altre informazioni,Altre informazioni
Cod. postale,84011
Prefisso,089
Fuso orario,UTC+1
Codice ISTAT,065006
Cod. catastale,A251
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 954 GG[3]"
Nome abitanti,amalfitani
Patrono,sant'Andrea Apostolo
Giorno festivo,"27 giugno, 30 novembre[4]"
Cartografia,Cartografia
Amalfi,Amalfi
Amalfi – MappaPosizione del comune di Amalfi all'interno della provincia di Salerno,Amalfi – MappaPosizione del comune di Amalfi all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
