Scala comune,Scala comune.1
,
Scala – Veduta,Scala – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Ivana Bottone (lista civica ""Scala che cambia"") dal 15-05-2023"
Territorio,Territorio
Coordinate,40°39′20″N 14°36′30″E
Altitudine,360 m s.l.m.
Superficie,"13,86 km²"
Abitanti,1 503[1] (30-11-2025)
Densità,"108,44 ab./km²"
Frazioni,"Campidoglio, Minuta, Pontone, San Pietro, Santa Caterina"
Comuni confinanti,"Agerola (NA), Amalfi, Atrani, Gragnano (NA), Pimonte (NA), Ravello"
Altre informazioni,Altre informazioni
Cod. postale,84010
Prefisso,089
Fuso orario,UTC+1
Codice ISTAT,065138
Cod. catastale,I486
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 618 GG[3]"
Nome abitanti,scalesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Scala,Scala
Scala – MappaPosizione del comune di Scala all'interno della provincia di Salerno,Scala – MappaPosizione del comune di Scala all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
