Sessa Cilento comune,Sessa Cilento comune.1
Sessa Cilento – Veduta,Sessa Cilento – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Gerardo Botti (lista civica Viviamo il comune) dal 4-10-2021
Territorio,Territorio
Coordinate,40°16′N 15°05′E
Altitudine,520 m s.l.m.
Superficie,"18,04 km²"
Abitanti,1 127[1] (30-11-2025)
Densità,"62,47 ab./km²"
Frazioni,"Casigliano, Castagneta, Felitto Piano, San Mango Cilento, Santa Lucia, Valle"
Comuni confinanti,"Lustra, Omignano, Perdifumo, Pollica, San Mauro Cilento, Serramezzana, Stella Cilento"
Altre informazioni,Altre informazioni
Cod. postale,84074
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065141
Cod. catastale,I677
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 851 GG[3]"
Nome abitanti,sessesi
Patrono,santo Stefano
Giorno festivo,3 agosto
Cartografia,Cartografia
Sessa Cilento,Sessa Cilento
Sessa Cilento – MappaPosizione del comune di Sessa Cilento all'interno della provincia di Salerno,Sessa Cilento – MappaPosizione del comune di Sessa Cilento all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
