Postiglione comune,Postiglione comune.1
,
Postiglione – VedutaPanorama di Postiglione,Postiglione – VedutaPanorama di Postiglione
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Carmine Cennamo (lista civica ""Noi per Postiglione"") dal 6-12-2021"
Territorio,Territorio
Coordinate,40°34′N 15°14′E
Altitudine,605 m s.l.m.
Superficie,"48,24 km²"
Abitanti,2 022[1] (30-11-2025)
Densità,"41,92 ab./km²"
Frazioni,"Acquara, Canneto, Lago Rosso, Pescara, Selva Nera, Terzo di Mezzo."
Comuni confinanti,"Altavilla Silentina, Campagna, Castelcivita, Controne, Contursi Terme, Serre, Sicignano degli Alburni"
Altre informazioni,Altre informazioni
Cod. postale,84026
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065101
Cod. catastale,G939
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 037 GG[3]"
Nome abitanti,postiglionesi
Patrono,san Giorgio martire e san Nicola di Bari (compatrono)
Giorno festivo,23 aprile; 31 luglio
Cartografia,Cartografia
Postiglione,Postiglione
Postiglione – MappaPosizione del comune di Postiglione all'interno della provincia di Salerno,Postiglione – MappaPosizione del comune di Postiglione all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
