Campora comune,Campora comune.1
,
Campora – Veduta,Campora – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Gianni Feola (lista civica Noi SiAmo Campora) dal 10-6-2024
Territorio,Territorio
Coordinate,40°18′N 15°18′E
Altitudine,520 m s.l.m.
Superficie,"29,15 km²"
Abitanti,297[1] (30-11-2025)
Densità,"10,19 ab./km²"
Comuni confinanti,"Cannalonga, Gioi, Laurino, Moio della Civitella, Novi Velia, Stio"
Altre informazioni,Altre informazioni
Cod. postale,84040
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065023
Cod. catastale,B555
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 848 GG[3]"
Nome abitanti,camporesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Campora,Campora
Campora – MappaPosizione del comune di Campora all'interno della provincia di Salerno,Campora – MappaPosizione del comune di Campora all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
