San Gregorio Magno comune,San Gregorio Magno comune.1
,
San Gregorio Magno – Veduta,San Gregorio Magno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Nicola Padula (lista civica Il quadrifoglio) dall'11-6-2018
Territorio,Territorio
Coordinate,40°39′N 15°24′E
Altitudine,475 m s.l.m.
Superficie,"50,05 km²"
Abitanti,3 800[1] (30-11-2025)
Densità,"75,92 ab./km²"
Comuni confinanti,"Buccino, Colliano, Muro Lucano (PZ), Ricigliano, Romagnano al Monte"
Altre informazioni,Altre informazioni
Cod. postale,84020
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065120
Cod. catastale,H943
Targa,SA
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 789 GG[3]"
Nome abitanti,gregoriani
Patrono,san Gregorio Magno
Giorno festivo,3 settembre
Cartografia,Cartografia
San Gregorio Magno,San Gregorio Magno
San Gregorio Magno – MappaPosizione del comune di San Gregorio Magno all'interno della provincia di Salerno,San Gregorio Magno – MappaPosizione del comune di San Gregorio Magno all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
