Castelcivita comune,Castelcivita comune.1
,
Castelcivita – Veduta,Castelcivita – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Antonio Forziati (lista civica Il campanile) dal 27-5-2013 (3º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,40°30′N 15°14′E
Altitudine,487 m s.l.m.
Superficie,"57,64 km²"
Abitanti,1 365[1] (30-11-2025)
Densità,"23,68 ab./km²"
Frazioni,"Cosentini, Serra[2]"
Comuni confinanti,"Albanella, Altavilla Silentina, Aquara, Controne, Ottati, Postiglione, Roccadaspide, Sicignano degli Alburni"
Altre informazioni,Altre informazioni
Cod. postale,84020
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065030
Cod. catastale,C069
Targa,SA
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 746 GG[4]"
Nome abitanti,castelcivitesi
Patrono,"san Nicola di Bari, san Cono il Taumaturgo"
Giorno festivo,"6 dicembre, 3 giugno"
Cartografia,Cartografia
Castelcivita,Castelcivita
Castelcivita – MappaPosizione del comune di Castelcivita all'interno della provincia di Salerno,Castelcivita – MappaPosizione del comune di Castelcivita all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
