Celle di Bulgheria comune,Celle di Bulgheria comune.1
,
Celle di Bulgheria – VedutaScorcio del centro storico,Celle di Bulgheria – VedutaScorcio del centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Gino Marotta (lista civica Andiamo in comune) dal 23-9-2020
Territorio,Territorio
Coordinate,40°06′N 15°24′E
Altitudine,234 m s.l.m.
Superficie,"31,62 km²"
Abitanti,1 680[1] (30-11-2025)
Densità,"53,13 ab./km²"
Frazioni,Poderia
Comuni confinanti,"Camerota, Centola, Roccagloriosa, Montano Antilia, Laurito"
Altre informazioni,Altre informazioni
Cod. postale,84040
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065038
Cod. catastale,C444
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 337 GG[3]"
Nome abitanti,cellesi
Patrono,Madonna della Neve
Giorno festivo,5 agosto
Cartografia,Cartografia
Celle di Bulgheria,Celle di Bulgheria
Celle di Bulgheria – MappaPosizione del comune di Celle di Bulgheria all'interno della provincia di Salerno,Celle di Bulgheria – MappaPosizione del comune di Celle di Bulgheria all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
