Atrani comune,Atrani comune.1
,
Atrani – Veduta,Atrani – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Michele Siravo (lista civica ""Atrani Futura"") dal 9-6-2024"
Territorio,Territorio
Coordinate,40°38′12.84″N 14°36′27.14″E
Altitudine,21 m s.l.m.
Superficie,"0,12[1] km²"
Abitanti,751[2] (30-11-2025)
Densità,"6 258,33 ab./km²"
Comuni confinanti,"Amalfi, Ravello, Scala"
Altre informazioni,Altre informazioni
Cod. postale,84010
Prefisso,089
Fuso orario,UTC+1
Codice ISTAT,065011
Cod. catastale,A487
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona C, 973 GG[4]"
Nome abitanti,atranesi
Patrono,santa Maria Maddalena
Giorno festivo,"24 febbraio, 22 luglio, domenica più vicina al 22 ottobre"
Cartografia,Cartografia
Atrani,Atrani
Atrani – MappaPosizione del comune di Atrani all'interno della provincia di Salerno,Atrani – MappaPosizione del comune di Atrani all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
