Montecorice comune,Montecorice comune.1
,
Montecorice – Veduta,Montecorice – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Flavio Meola (lista civica Insieme per Montecorice) dal 13-6-2022
Territorio,Territorio
Coordinate,40°14′03″N 14°59′02″E
Altitudine,90 m s.l.m.
Superficie,"22,25 km²"
Abitanti,2 594[1] (30-11-2025)
Densità,"116,58 ab./km²"
Frazioni,"Agnone, Case del Conte, Cosentini, Fornelli, Ortodonico, Zoppi"
Comuni confinanti,"Castellabate, Perdifumo, San Mauro Cilento, Serramezzana"
Altre informazioni,Altre informazioni
Cod. postale,84060
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065071
Cod. catastale,F479
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 157 GG[3]"
Nome abitanti,montecoricesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Montecorice,Montecorice
Montecorice – MappaPosizione del comune di Montecorice all'interno della provincia di Salerno,Montecorice – MappaPosizione del comune di Montecorice all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
