Sacco comune,Sacco comune.1
,
Sacco – Veduta,Sacco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Franco Latempa (lista civica) dall'11-6-2017
Territorio,Territorio
Coordinate,40°22′44″N 15°22′42″E
Altitudine,600 m s.l.m.
Superficie,"23,66 km²"
Abitanti,394[1] (30-11-2025)
Densità,"16,65 ab./km²"
Comuni confinanti,"Corleto Monforte, Laurino, Piaggine, Roscigno, Teggiano"
Altre informazioni,Altre informazioni
Cod. postale,84070
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065113
Cod. catastale,H654
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 971 GG[3]"
Nome abitanti,"sacchesi[4], saccatari[5]"
Patrono,san Silvestro
Giorno festivo,31 dicembre
Cartografia,Cartografia
Sacco,Sacco
Sacco – MappaPosizione del comune di Sacco all'interno della provincia di Salerno,Sacco – MappaPosizione del comune di Sacco all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
