Serre comune,Serre comune.1
,
Serre – Veduta,Serre – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Antonio Opramolla (lista civica ""SI Amo Serre"") dal 20-03-2023"
Territorio,Territorio
Coordinate,40°34′57.04″N 15°11′07.98″E
Altitudine,200 m s.l.m.
Superficie,"67,03 km²"
Abitanti,3 680[1] (30-11-2025)
Densità,"54,9 ab./km²"
Frazioni,"Borgo San Lazzaro, Persano[2]"
Comuni confinanti,"Albanella, Altavilla Silentina, Campagna, Eboli, Postiglione"
Altre informazioni,Altre informazioni
Cod. postale,84028; 84023 (Persano)
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065140
Cod. catastale,I666
Targa,SA
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 294 GG[4]"
Nome abitanti,serresi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Serre,Serre
Serre – MappaPosizione del comune di Serre all'interno della provincia di Salerno,Serre – MappaPosizione del comune di Serre all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
