Castiglione del Genovesi comune,Castiglione del Genovesi comune.1
,
Castiglione del Genovesi – VedutaCastiglione del Genovesi visto dal monte Monna,Castiglione del Genovesi – VedutaCastiglione del Genovesi visto dal monte Monna
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Carmine Siano (lista civica Uniti per Castiglione) dal 09-6-2024
Territorio,Territorio
Coordinate,40°44′N 14°51′E
Altitudine,598 m s.l.m.
Superficie,"10,41 km²"
Abitanti,1 280[1] (30-11-2025)
Densità,"122,96 ab./km²"
Frazioni,Zana (Castiglione del Genovesi)
Comuni confinanti,"Baronissi, Fisciano, Giffoni Sei Casali, Calvanico, Salerno, San Cipriano Picentino, San Mango Piemonte"
Altre informazioni,Altre informazioni
Cod. postale,84090
Prefisso,089
Fuso orario,UTC+1
Codice ISTAT,065036
Cod. catastale,C306
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,castiglionesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Castiglione del Genovesi,Castiglione del Genovesi
Castiglione del Genovesi – MappaPosizione del comune di Castiglione del Genovesi all'interno della provincia di Salerno,Castiglione del Genovesi – MappaPosizione del comune di Castiglione del Genovesi all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
