San Valentino Torio comune,San Valentino Torio comune.1
,
San Valentino Torio – Veduta,San Valentino Torio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Michele Strianese (lista civica) dal 2-6-2015 (2º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,40°47′27.92″N 14°36′11.99″E
Altitudine,22 m s.l.m.
Superficie,"9,16 km²"
Abitanti,10 974[1] (30-11-2025)
Densità,"1 198,03 ab./km²"
Frazioni,Casatori e Sciulia
Comuni confinanti,"Nocera Inferiore, Pagani, Poggiomarino (NA), San Marzano sul Sarno, Sarno, Scafati, Striano (NA)"
Altre informazioni,Altre informazioni
Cod. postale,84010
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,065132
Cod. catastale,I377
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 150 GG[3]"
Nome abitanti,valentinesi
Patrono,san Valentino
Giorno festivo,14 febbraio
Cartografia,Cartografia
San Valentino Torio,San Valentino Torio
San Valentino Torio – MappaPosizione del comune di San Valentino Torio all'interno della provincia di Salerno,San Valentino Torio – MappaPosizione del comune di San Valentino Torio all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
