Serramezzana comune,Serramezzana comune.1
,
Serramezzana – Veduta,Serramezzana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Augusto Materazzi (lista civica Alla luce del sole) dal 4-10-2021
Territorio,Territorio
Coordinate,40°15′N 15°01′E
Altitudine,520 m s.l.m.
Superficie,"7,23 km²"
Abitanti,272[1] (30-11-2025)
Densità,"37,62 ab./km²"
Frazioni,"Capograssi, San Teodoro"
Comuni confinanti,"Montecorice, Perdifumo, San Mauro Cilento, Sessa Cilento"
Altre informazioni,Altre informazioni
Cod. postale,84070
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065139
Cod. catastale,I648
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 694 GG[3]"
Nome abitanti,serramezzanesi
Patrono,san Filippo apostolo
Giorno festivo,3 maggio
Cartografia,Cartografia
Serramezzana,Serramezzana
Serramezzana – MappaPosizione del comune di Serramezzana all'interno della provincia di Salerno,Serramezzana – MappaPosizione del comune di Serramezzana all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
