Bracigliano comune,Bracigliano comune.1
,
Bracigliano – Veduta,Bracigliano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Giovanni Iuliano (lista civica di centro-sinistra Semplicemente cittadini) dal 12-6-2022
Territorio,Territorio
Coordinate,40°49′21.36″N 14°42′20.52″E
Altitudine,327 m s.l.m.
Superficie,"14,41 km²"
Abitanti,5 332[1] (30-11-2025)
Densità,"370,02 ab./km²"
Frazioni,"Casale, Manzi, Casa Danise, Tuoro, Spineto, Santa Lucia, Pero, San Nazario[2]"
Comuni confinanti,"Forino (AV), Mercato San Severino, Montoro (AV), Quindici (AV), Sarno, Siano"
Altre informazioni,Altre informazioni
Cod. postale,84082
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,065016
Cod. catastale,B115
Targa,SA
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 646 GG[4]"
Nome abitanti,braciglianesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Bracigliano,Bracigliano
Bracigliano – MappaPosizione del comune di Bracigliano all'interno della provincia di Salerno,Bracigliano – MappaPosizione del comune di Bracigliano all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
