Ascea comune,Ascea comune.1
,
Ascea – VedutaLa torre di Velia,Ascea – VedutaLa torre di Velia
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Stefano Sansone (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,40°09′N 15°11′E
Altitudine,293 m s.l.m.
Superficie,"37,45 km²"
Abitanti,5 905[1] (30-11-2025)
Densità,"157,68 ab./km²"
Frazioni,"Catona, Mandia, Baronia-Stampella, Marina di Ascea, Terradura"
Comuni confinanti,"Casal Velino, Castelnuovo Cilento, Ceraso, Pisciotta, San Mauro La Bruca"
Altre informazioni,Altre informazioni
Cod. postale,84046
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065009
Cod. catastale,A460
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 338 GG[3]"
Nome abitanti,asceoti
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Ascea,Ascea
Ascea – MappaPosizione del comune di Ascea all'interno della provincia di Salerno,Ascea – MappaPosizione del comune di Ascea all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
