Giffoni Valle Piana comune,Giffoni Valle Piana comune.1
,
Giffoni Valle Piana – Veduta,Giffoni Valle Piana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Antonio Giuliano (lista civica di centro-sinistra ""Giffoni Bene Comune"") dal 6-6-2016 (2º mandato dal 4-10-2021)"
Territorio,Territorio
Coordinate,40°43′N 14°56′E
Altitudine,200 m s.l.m.
Superficie,"88,61 km²"
Abitanti,11 475[1] (30-11-2025)
Densità,"129,5 ab./km²"
Frazioni,"Catelde, Chiaravallisi, Chieve, Curti, Curticelle, Gaia, Mercato, Ornito, Pozzarolo[2] San Giorgio, San Giovanni, Santa Caterina, Santa Maria a Vico, Sardone, Sovvieco, Terravecchia, Vassi, Vignadonica [3]"
Comuni confinanti,"Acerno, Calvanico, Giffoni Sei Casali, Montecorvino Pugliano, Montecorvino Rovella, Montella (AV), Pontecagnano Faiano, Salerno, San Cipriano Picentino, Serino (AV)"
Altre informazioni,Altre informazioni
Cod. postale,84095
Prefisso,089
Fuso orario,UTC+1
Codice ISTAT,065056
Cod. catastale,E027
Targa,SA
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona C, 1 294 GG[5]"
Nome abitanti,giffonesi
Patrono,Santa Maria Annunziata
Giorno festivo,25 marzo
Cartografia,Cartografia
Giffoni Valle Piana,Giffoni Valle Piana
Giffoni Valle Piana – MappaPosizione del comune all'interno della provincia di Salerno,Giffoni Valle Piana – MappaPosizione del comune all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
