Atena Lucana comune,Atena Lucana comune.1
,
Atena Lucana – Veduta,Atena Lucana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Luigi Vertucci (lista civica ""èLibera"") dall'11-6-2018 (2º mandato dal 15-5-2023)"
Territorio,Territorio
Coordinate,40°27′N 15°33′E
Altitudine,625 m s.l.m.
Superficie,"26,01 km²"
Abitanti,2 400[1] (30-11-2025)
Densità,"92,27 ab./km²"
Frazioni,"Atena Lucana Scalo, San Giuseppe, Serrone[2]"
Comuni confinanti,"Brienza (PZ), Polla, Sala Consilina, San Pietro al Tanagro, Sant'Arsenio, Teggiano"
Altre informazioni,Altre informazioni
Cod. postale,84030
Prefisso,0975
Fuso orario,UTC+1
Codice ISTAT,065010
Cod. catastale,A484
Targa,SA
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona D, 2 049 GG[4]"
Nome abitanti,atinati o atenesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Atena Lucana,Atena Lucana
Atena Lucana – MappaPosizione del comune di Atena Lucana all'interno della provincia di Salerno,Atena Lucana – MappaPosizione del comune di Atena Lucana all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
