Maiori comune,Maiori comune.1
(dettagli),(dettagli)
Maiori – Veduta,Maiori – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Antonio Capone (lista civica ""Con Antonio Capone sindaco"") dal 1-6-2015 (2º mandato dal 20-9-2020)"
Territorio,Territorio
Coordinate,40°38′55″N 14°38′20″E
Altitudine,5 m s.l.m.
Superficie,"16,67 km²"
Abitanti,5 218[1] (30-11-2025)
Densità,"313,02 ab./km²"
Frazioni,"Erchie, Ponteprimario, San Pietro, Santa Maria delle Grazie, Vecite"
Comuni confinanti,"Cava de' Tirreni, Cetara, Minori, Ravello, Tramonti, Vietri sul Mare"
Altre informazioni,Altre informazioni
Cod. postale,84010
Prefisso,089
Fuso orario,UTC+1
Codice ISTAT,065066
Cod. catastale,E839
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 977 GG[3]"
Nome abitanti,maioresi
Patrono,Santa Maria a Mare
Giorno festivo,15 agosto - terza domenica di novembre
Cartografia,Cartografia
Maiori,Maiori
Maiori – MappaPosizione del comune di Maiori all'interno della provincia di Salerno,Maiori – MappaPosizione del comune di Maiori all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
