Controne comune,Controne comune.1
,
Controne – VedutaVeduta della piazza,Controne – VedutaVeduta della piazza
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Ettore Poti (lista civica ""Nuovi Orizzonti"") dal 6-6-2016 (2º mandato dal 4-10-2021)"
Territorio,Territorio
Coordinate,40°31′N 15°12′E
Altitudine,200 m s.l.m.
Superficie,"7,75 km²"
Abitanti,754[1] (30-11-2025)
Densità,"97,29 ab./km²"
Comuni confinanti,"Altavilla Silentina, Castelcivita, Postiglione"
Altre informazioni,Altre informazioni
Cod. postale,84020
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065045
Cod. catastale,C973
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 467 GG[3]"
Nome abitanti,contronesi
Patrono,"san Donato, san Nicola di Bari"
Giorno festivo,"7 agosto, 6 dicembre"
Cartografia,Cartografia
Controne,Controne
Controne – MappaPosizione del comune di Controne all'interno della provincia di Salerno,Controne – MappaPosizione del comune di Controne all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
