Ruffia comune,Ruffia comune.1
,
Ruffia – VedutaPanorama,Ruffia – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Cristian Ruffino (lista civica) dal 27-5-2019
Data di istituzione,1947[1] (ricostituzione)
Territorio,Territorio
Coordinate,44°42′55.53″N 7°36′04.59″E
Altitudine,282 m s.l.m.
Superficie,"7,51 km²"
Abitanti,357[2] (30-11-2025)
Densità,"47,54 ab./km²"
Comuni confinanti,"Cavallerleone, Cavallermaggiore, Monasterolo di Savigliano, Murello, Scarnafigi, Villanova Solaro"
Altre informazioni,Altre informazioni
Cod. postale,12030
Prefisso,0172
Fuso orario,UTC+1
Codice ISTAT,004198
Cod. catastale,H633
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 665 GG[4]"
Nome abitanti,ruffiesi
Patrono,Corpi santissimi
Giorno festivo,25 aprile
Cartografia,Cartografia
Ruffia,Ruffia
Ruffia – MappaTerritorio comunale di Ruffia nella provincia di Cuneo,Ruffia – MappaTerritorio comunale di Ruffia nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
