Casteldelfino comune,Casteldelfino comune.1
,
Casteldelfino – Veduta,Casteldelfino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Domenico Amorisco (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,44°35′26″N 7°04′15″E
Altitudine,1 296 m s.l.m.
Superficie,"33,95 km²"
Abitanti,145[1] (30-11-2025)
Densità,"4,27 ab./km²"
Frazioni,"Alboin, Bertines, Caldane, Puy, Pusterle, Rabioux, Serre, Torrette"
Comuni confinanti,"Bellino, Elva, Oncino, Pontechianale, Sampeyre"
Altre informazioni,Altre informazioni
Cod. postale,12020
Prefisso,0175
Fuso orario,UTC+1
Codice ISTAT,004047
Cod. catastale,C081
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 4 107 GG[3]"
Nome abitanti,casteldelfinesi
Patrono,santa Margherita di Antiochia
Giorno festivo,terza domenica di luglio
Cartografia,Cartografia
Casteldelfino,Casteldelfino
Casteldelfino – MappaPosizione di Casteldelfino nella provincia di Cuneo,Casteldelfino – MappaPosizione di Casteldelfino nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
