Faule comune,Faule comune.1
,
Faule – VedutaVista sul paese dalla strada del cimitero,Faule – VedutaVista sul paese dalla strada del cimitero
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Chiara Boretto (lista civica Fare Faule) dal 10-06-2024
Data di istituzione,20-9-1946 (ricostituzione e distacco da Polonghera)
Territorio,Territorio
Coordinate,44°48′22.46″N 7°35′06.45″E
Altitudine,"246 (min 241,7 - max 251) m s.l.m."
Superficie,"6,89[1] km²"
Abitanti,474[2] (30-11-2025)
Densità,"68,8 ab./km²"
Frazioni,"Cascinetta, Motta, Porto[3]"
Comuni confinanti,"Casalgrasso, Moretta, Pancalieri (TO), Polonghera, Villafranca Piemonte (TO)"
Altre informazioni,Altre informazioni
Cod. postale,12030
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,004087
Cod. catastale,D511
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 620 GG[5]"
Nome abitanti,faulesi (antico: putiè)
Patrono,Corpi santi
Giorno festivo,seconda domenica di ottobre; terzo lunedì di ottobre[6]
PIL procapite,"(nominale) 1,520 (2001)"
Soprannome,Il Paese della Bagna Caöda[7]
Motto,In Viridi Virtus Nel Verde la Virtù[8]
Cartografia,Cartografia
Faule,Faule
Faule – MappaPosizione di Faule in provincia di Cuneo,Faule – MappaPosizione di Faule in provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
