Montemale di Cuneo comune,Montemale di Cuneo comune.1
,
Montemale di Cuneo – Veduta,Montemale di Cuneo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Albino Dao (lista civica Siamo Montemale) dal 27-5-2019
Territorio,Territorio
Coordinate,44°26′N 7°23′E
Altitudine,931 m s.l.m.
Superficie,"11,1 km²"
Abitanti,240[1] (30-11-2025)
Densità,"21,62 ab./km²"
Frazioni,"San Giorgio, Ricogno, Piatta Sottana, Piatta Soprana"
Comuni confinanti,"Caraglio, Dronero, Monterosso Grana, Valgrana"
Altre informazioni,Altre informazioni
Cod. postale,12025
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004138
Cod. catastale,F558
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 470 GG[3]"
Nome abitanti,montemalesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Montemale di Cuneo,Montemale di Cuneo
Montemale di Cuneo – MappaPosizione del comune di Montemale di Cuneo nella provincia di Cuneo,Montemale di Cuneo – MappaPosizione del comune di Montemale di Cuneo nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
