Rocchetta Belbo comune,Rocchetta Belbo comune.1
,
Rocchetta Belbo – VedutaVeduta in cartolina d'epoca,Rocchetta Belbo – VedutaVeduta in cartolina d'epoca
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Valter Sandri (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,44°38′10″N 8°10′30″E
Altitudine,273 m s.l.m.
Superficie,"4,51 km²"
Abitanti,150[1] (30-11-2025)
Densità,"33,26 ab./km²"
Comuni confinanti,"Castino, Cossano Belbo, Mango, Vesime (AT)"
Altre informazioni,Altre informazioni
Cod. postale,12050
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,004193
Cod. catastale,H462
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 654 GG[3]"
Nome abitanti,rocchettesi
Patrono,sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Rocchetta Belbo,Rocchetta Belbo
Rocchetta Belbo – MappaPosizione di Rocchetta Belbo nella provincia di Cuneo,Rocchetta Belbo – MappaPosizione di Rocchetta Belbo nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
